id,probe,phase,family,subtype,model,variant,metric,value,n,ci_low,ci_high,test,statistic,p_value,source_file,filter_applied,note
P1.1.GSM.Claude.canonical,P1,P1,GSM,--,Claude,canonical,accuracy,0.8409090909090909,44,0.7063350943621745,0.920734234422816,,,,GSM_P1_behavioral_claude.csv,bank-valid GSM IDs from question_bank_gsm.csv; drop mock; drop ERROR:; keep=last,
P1.1.ALGO.WIS-chall.Gemini.W1,P1,P1,ALGO,WIS-chall,Gemini,W1,accuracy,0.17647058823529413,17,0.0619101371254899,0.41029929017375777,,,,ALGO_P1_behavioral_gemini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-chall.Gemini.W2,P1,P1,ALGO,WIS-chall,Gemini,W2,accuracy,0.0,17,0.0,0.18432366037156456,,,,ALGO_P1_behavioral_gemini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-chall.Gemini.W3,P1,P1,ALGO,WIS-chall,Gemini,W3,accuracy,0.0,17,0.0,0.18432366037156456,,,,ALGO_P1_behavioral_gemini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-chall.Gemini.W4,P1,P1,ALGO,WIS-chall,Gemini,W4,accuracy,0.0,17,0.0,0.18432366037156456,,,,ALGO_P1_behavioral_gemini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-chall.Gemini.W5,P1,P1,ALGO,WIS-chall,Gemini,W5,accuracy,NOT_COMPUTABLE,0,,,,,,ALGO_P1_behavioral_gemini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,variant not present for this slice (W5/W6 holes are real)
P1.1.ALGO.WIS-chall.Gemini.W6,P1,P1,ALGO,WIS-chall,Gemini,W6,accuracy,0.0,15,0.0,0.20388926630434784,,,,ALGO_P1_behavioral_gemini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-std.Gemini.canonical,P1,P1,ALGO,WIS-std,Gemini,canonical,accuracy,0.0,13,0.0,0.22810184305529166,,,,ALGO_P1_behavioral_gemini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-std.Gemini.W1,P1,P1,ALGO,WIS-std,Gemini,W1,accuracy,0.0,13,0.0,0.22810184305529166,,,,ALGO_P1_behavioral_gemini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-std.Gemini.W2,P1,P1,ALGO,WIS-std,Gemini,W2,accuracy,0.23076923076923078,13,0.08179379092465713,0.5025687399512693,,,,ALGO_P1_behavioral_gemini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-std.Gemini.W3,P1,P1,ALGO,WIS-std,Gemini,W3,accuracy,0.0,13,0.0,0.22810184305529166,,,,ALGO_P1_behavioral_gemini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-std.Gemini.W4,P1,P1,ALGO,WIS-std,Gemini,W4,accuracy,0.0,13,0.0,0.22810184305529166,,,,ALGO_P1_behavioral_gemini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-std.Gemini.W5,P1,P1,ALGO,WIS-std,Gemini,W5,accuracy,NOT_COMPUTABLE,0,,,,,,ALGO_P1_behavioral_gemini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,variant not present for this slice (W5/W6 holes are real)
P1.1.ALGO.WIS-std.Gemini.W6,P1,P1,ALGO,WIS-std,Gemini,W6,accuracy,0.0,10,0.0,0.2775401687666165,,,,ALGO_P1_behavioral_gemini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.2.ALGO.CC.Gemini.W3_retention,P1,P1,ALGO,CC,Gemini,W3,W3_retention,1.4,10,,,,,,ALGO_P1_behavioral_gemini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.2.ALGO.SP.Gemini.W3_retention,P1,P1,ALGO,SP,Gemini,W3,W3_retention,0.4782608695652174,34,,,,,,ALGO_P1_behavioral_gemini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.2.ALGO.WIS.Gemini.W3_retention,P1,P1,ALGO,WIS,Gemini,W3,W3_retention,0.0,17,,,,,,ALGO_P1_behavioral_gemini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.2.ALGO.ALL.Gemini.W3_retention,P1,P1,ALGO,ALL,Gemini,W3,W3_retention,0.5294117647058824,61,,,,,,ALGO_P1_behavioral_gemini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-chall.o4-mini.canonical,P1,P1,ALGO,CC-chall,o4-mini,canonical,accuracy,1.0,10,0.7224598312333834,1.0,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-chall.o4-mini.W1,P1,P1,ALGO,CC-chall,o4-mini,W1,accuracy,1.0,10,0.7224598312333834,1.0,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-chall.o4-mini.W2,P1,P1,ALGO,CC-chall,o4-mini,W2,accuracy,1.0,10,0.7224598312333834,1.0,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-chall.o4-mini.W3,P1,P1,ALGO,CC-chall,o4-mini,W3,accuracy,1.0,10,0.7224598312333834,1.0,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-chall.o4-mini.W4,P1,P1,ALGO,CC-chall,o4-mini,W4,accuracy,1.0,10,0.7224598312333834,1.0,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-chall.o4-mini.W5,P1,P1,ALGO,CC-chall,o4-mini,W5,accuracy,NOT_COMPUTABLE,0,,,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,variant not present for this slice (W5/W6 holes are real)
P1.1.ALGO.CC-chall.o4-mini.W6,P1,P1,ALGO,CC-chall,o4-mini,W6,accuracy,NOT_COMPUTABLE,0,,,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,variant not present for this slice (W5/W6 holes are real)
P1.1.ALGO.CC-std.o4-mini.canonical,P1,P1,ALGO,CC-std,o4-mini,canonical,accuracy,1.0,15,0.7961107336956521,1.0,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-std.o4-mini.W1,P1,P1,ALGO,CC-std,o4-mini,W1,accuracy,0.9333333333333333,15,0.7018292244757601,0.9881334113938051,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-std.o4-mini.W2,P1,P1,ALGO,CC-std,o4-mini,W2,accuracy,0.26666666666666666,15,0.1089727610318281,0.5195088965768675,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-std.o4-mini.W3,P1,P1,ALGO,CC-std,o4-mini,W3,accuracy,0.6,15,0.357464427565077,0.8017577191740534,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-std.o4-mini.W4,P1,P1,ALGO,CC-std,o4-mini,W4,accuracy,1.0,15,0.7961107336956521,1.0,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.CC-std.o4-mini.W5,P1,P1,ALGO,CC-std,o4-mini,W5,accuracy,NOT_COMPUTABLE,0,,,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,variant not present for this slice (W5/W6 holes are real)
P1.1.ALGO.CC-std.o4-mini.W6,P1,P1,ALGO,CC-std,o4-mini,W6,accuracy,1.0,15,0.7961107336956521,1.0,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-chall.o4-mini.canonical,P1,P1,ALGO,SP-chall,o4-mini,canonical,accuracy,1.0,34,0.8984820937803899,1.0,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-chall.o4-mini.W1,P1,P1,ALGO,SP-chall,o4-mini,W1,accuracy,0.9411764705882353,34,0.8090606311053629,0.9837176869361576,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-chall.o4-mini.W2,P1,P1,ALGO,SP-chall,o4-mini,W2,accuracy,0.08823529411764706,34,0.030465390304310128,0.22960817952360413,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-chall.o4-mini.W3,P1,P1,ALGO,SP-chall,o4-mini,W3,accuracy,0.8823529411764706,34,0.7337882520370121,0.9532862902656388,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-chall.o4-mini.W4,P1,P1,ALGO,SP-chall,o4-mini,W4,accuracy,0.9411764705882353,34,0.8090606311053629,0.9837176869361576,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-chall.o4-mini.W5,P1,P1,ALGO,SP-chall,o4-mini,W5,accuracy,0.06451612903225806,31,0.017874407775063147,0.20718988318746434,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-chall.o4-mini.W6,P1,P1,ALGO,SP-chall,o4-mini,W6,accuracy,0.45161290322580644,31,0.29161482836586106,0.6222812039633085,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-std.o4-mini.canonical,P1,P1,ALGO,SP-std,o4-mini,canonical,accuracy,1.0,21,0.8453561767357979,1.0,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-std.o4-mini.W1,P1,P1,ALGO,SP-std,o4-mini,W1,accuracy,1.0,21,0.8453561767357979,1.0,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-std.o4-mini.W2,P1,P1,ALGO,SP-std,o4-mini,W2,accuracy,0.09523809523809523,21,0.026518208796947246,0.2891458386074067,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-std.o4-mini.W3,P1,P1,ALGO,SP-std,o4-mini,W3,accuracy,0.8571428571428571,21,0.6536350585077049,0.950190782017865,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-std.o4-mini.W4,P1,P1,ALGO,SP-std,o4-mini,W4,accuracy,0.9047619047619048,21,0.7108541613925933,0.9734817912030528,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-std.o4-mini.W5,P1,P1,ALGO,SP-std,o4-mini,W5,accuracy,0.0,19,0.0,0.16818436536845052,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.SP-std.o4-mini.W6,P1,P1,ALGO,SP-std,o4-mini,W6,accuracy,0.47368421052631576,19,0.27329505487448547,0.6829251748817489,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-chall.o4-mini.canonical,P1,P1,ALGO,WIS-chall,o4-mini,canonical,accuracy,1.0,17,0.8156763396284354,1.0,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-chall.o4-mini.W1,P1,P1,ALGO,WIS-chall,o4-mini,W1,accuracy,1.0,17,0.8156763396284354,1.0,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-chall.o4-mini.W2,P1,P1,ALGO,WIS-chall,o4-mini,W2,accuracy,0.23529411764705882,17,0.0955488907167594,0.47262245889171595,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-chall.o4-mini.W3,P1,P1,ALGO,WIS-chall,o4-mini,W3,accuracy,0.0,17,0.0,0.18432366037156456,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-chall.o4-mini.W4,P1,P1,ALGO,WIS-chall,o4-mini,W4,accuracy,0.11764705882352941,17,0.03287908001292092,0.3433684249770991,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-chall.o4-mini.W5,P1,P1,ALGO,WIS-chall,o4-mini,W5,accuracy,NOT_COMPUTABLE,0,,,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,variant not present for this slice (W5/W6 holes are real)
P1.1.ALGO.WIS-chall.o4-mini.W6,P1,P1,ALGO,WIS-chall,o4-mini,W6,accuracy,0.0,15,0.0,0.20388926630434784,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-std.o4-mini.canonical,P1,P1,ALGO,WIS-std,o4-mini,canonical,accuracy,1.0,13,0.7718981569447084,1.0,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-std.o4-mini.W1,P1,P1,ALGO,WIS-std,o4-mini,W1,accuracy,0.9230769230769231,13,0.6668546607175265,0.9862899336203037,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-std.o4-mini.W2,P1,P1,ALGO,WIS-std,o4-mini,W2,accuracy,0.38461538461538464,13,0.17709446581236818,0.6447751902773146,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-std.o4-mini.W3,P1,P1,ALGO,WIS-std,o4-mini,W3,accuracy,0.0,13,0.0,0.22810184305529166,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-std.o4-mini.W4,P1,P1,ALGO,WIS-std,o4-mini,W4,accuracy,0.23076923076923078,13,0.08179379092465713,0.5025687399512693,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.ALGO.WIS-std.o4-mini.W5,P1,P1,ALGO,WIS-std,o4-mini,W5,accuracy,NOT_COMPUTABLE,0,,,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,variant not present for this slice (W5/W6 holes are real)
P1.1.ALGO.WIS-std.o4-mini.W6,P1,P1,ALGO,WIS-std,o4-mini,W6,accuracy,0.0,10,0.0,0.2775401687666165,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.2.ALGO.CC.o4-mini.W3_retention,P1,P1,ALGO,CC,o4-mini,W3,W3_retention,1.0,10,,,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.2.ALGO.SP.o4-mini.W3_retention,P1,P1,ALGO,SP,o4-mini,W3,W3_retention,0.8823529411764706,34,,,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.2.ALGO.WIS.o4-mini.W3_retention,P1,P1,ALGO,WIS,o4-mini,W3,W3_retention,0.0,17,,,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.2.ALGO.ALL.o4-mini.W3_retention,P1,P1,ALGO,ALL,o4-mini,W3,W3_retention,0.6557377049180327,61,,,,,,ALGO_P1_behavioral_o1mini.csv,drop mock; drop ERROR:; keep=last; subtype/slice from frozen 61-ID adversarial pool,
P1.1.BW.--.Claude.canonical,P1,P1,BW,--,Claude,canonical,accuracy,0.15384615384615385,65,0.08577002061798975,0.26055545700019456,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,
P1.1.BW.--.Claude.W1,P1,P1,BW,--,Claude,W1,accuracy,0.06153846153846154,65,0.024188663436562223,0.14782360821313795,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,
P1.1.BW.--.Claude.W2,P1,P1,BW,--,Claude,W2,accuracy,0.23076923076923078,65,0.14513708450988846,0.3464493980820327,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,
P1.1.BW.--.Claude.W3,P1,P1,BW,--,Claude,W3,accuracy,0.13846153846153847,65,0.07459006187684232,0.24268321474659466,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,W3 = entity+action rename (scripts/generation/utils/variant_prompts.py W3_BW_MAPPING_*)
P1.1.BW.--.Claude.W4,P1,P1,BW,--,Claude,W4,accuracy,0.015384615384615385,65,0.002720874527486622,0.08213479413797146,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,
P1.1.BW.--.Claude.W5,P1,P1,BW,--,Claude,W5,accuracy,0.5230769230769231,65,0.40379420402276267,0.6397840974693585,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,W5 = init/goal swap (scripts/generation/utils/variant_utils.py swap_pddl_init_goal)
P1.1.BW.--.Claude.W6,P1,P1,BW,--,Claude,W6,accuracy,0.5076923076923077,65,0.3891624609220664,0.6253636395753072,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,
P1.2.BW.--.Claude.W3_retention,P1,P1,BW,--,Claude,W3,W3_retention,0.9,65,,,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,
P1.1.BW.standard.Claude.canonical,P1,P1,BW,standard,Claude,canonical,accuracy,0.2,50,0.11243629945973886,0.3303737210448524,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,
P1.1.BW.standard.Claude.W1,P1,P1,BW,standard,Claude,W1,accuracy,0.08,50,0.031549003255790686,0.18838502545063704,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,
P1.1.BW.standard.Claude.W2,P1,P1,BW,standard,Claude,W2,accuracy,0.3,50,0.1910338908960936,0.4375061227736339,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,
P1.1.BW.standard.Claude.W3,P1,P1,BW,standard,Claude,W3,accuracy,0.08,50,0.031549003255790686,0.18838502545063704,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,W3 = entity+action rename (scripts/generation/utils/variant_prompts.py W3_BW_MAPPING_*)
P1.1.BW.standard.Claude.W4,P1,P1,BW,standard,Claude,W4,accuracy,0.02,50,0.0035391680889764604,0.10495686471836953,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,
P1.1.BW.standard.Claude.W5,P1,P1,BW,standard,Claude,W5,accuracy,0.68,50,0.5418944286372394,0.792419559060006,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,W5 = init/goal swap (scripts/generation/utils/variant_utils.py swap_pddl_init_goal)
P1.1.BW.standard.Claude.W6,P1,P1,BW,standard,Claude,W6,accuracy,0.66,50,0.5215356854148285,0.7756323036493895,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,
P1.2.BW.standard.Claude.W3_retention,P1,P1,BW,standard,Claude,W3,W3_retention,0.39999999999999997,50,,,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,
P1.1.BW.mystery.Claude.canonical,P1,P1,BW,mystery,Claude,canonical,accuracy,0.0,15,0.0,0.20388926630434784,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,
P1.1.BW.mystery.Claude.W1,P1,P1,BW,mystery,Claude,W1,accuracy,0.0,15,0.0,0.20388926630434784,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,
P1.1.BW.mystery.Claude.W2,P1,P1,BW,mystery,Claude,W2,accuracy,0.0,15,0.0,0.20388926630434784,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,
P1.1.BW.mystery.Claude.W3,P1,P1,BW,mystery,Claude,W3,accuracy,0.3333333333333333,15,0.15176100694691236,0.5828687484878701,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,W3 = entity+action rename (scripts/generation/utils/variant_prompts.py W3_BW_MAPPING_*)
P1.1.BW.mystery.Claude.W4,P1,P1,BW,mystery,Claude,W4,accuracy,0.0,15,0.0,0.20388926630434784,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,
P1.1.BW.mystery.Claude.W5,P1,P1,BW,mystery,Claude,W5,accuracy,0.0,15,0.0,0.20388926630434784,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,W5 = init/goal swap (scripts/generation/utils/variant_utils.py swap_pddl_init_goal)
P1.1.BW.mystery.Claude.W6,P1,P1,BW,mystery,Claude,W6,accuracy,0.0,15,0.0,0.20388926630434784,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,
P1.2.BW.mystery.Claude.W3_retention,P1,P1,BW,mystery,Claude,W3,W3_retention,undefined,15,,,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,canonical accuracy is 0
P1.4.BW.Claude.entity_action_rename,P1,P1,BW,--,Claude,W3,accuracy_entity_action_rename,0.13846153846153847,65,0.07459006187684232,0.24268321474659466,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,Confirmed from generator: W3=entity+action rename; W5=init/goal swap
P1.4.BW.Claude.init_goal_swap,P1,P1,BW,--,Claude,W5,accuracy_init_goal_swap,0.5230769230769231,65,0.40379420402276267,0.6397840974693585,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,Confirmed from generator: W3=entity+action rename; W5=init/goal swap
P1.1.BW.--.GPT-4o.canonical,P1,P1,BW,--,GPT-4o,canonical,accuracy,0.06153846153846154,65,0.024188663436562223,0.14782360821313795,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,
P1.1.BW.--.GPT-4o.W1,P1,P1,BW,--,GPT-4o,W1,accuracy,0.09230769230769231,65,0.04299450413746196,0.18712216950173294,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,
P1.1.BW.--.GPT-4o.W2,P1,P1,BW,--,GPT-4o,W2,accuracy,0.09230769230769231,65,0.04299450413746196,0.18712216950173294,,,,BW_P1_behavioral.csv + BW_P1_behavioral_gemini.csv + BW_P1_behavioral_o1mini.csv,65 PlanBench bank IDs; drop mock; drop ERROR:; keep=last,
