claim_text,section_or_table,paper_value,recomputed_value,raw_file_used,filter_applied,MATCH/MISMATCH/NOT_RECOMPUTABLE,note
Table 7 ALGO CC-std. Gemini W2,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/15
Table 7 ALGO CC-std. Gemini W3,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/15
Table 7 ALGO CC-std. Gemini W4,Table 7,.267,0.267,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,4/15
Table 7 ALGO CC-std. Llama canonical,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/15
Table 7 ALGO CC-std. Llama W1,Table 7,.067,0.067,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,1/15
Table 7 ALGO CC-std. Llama W2,Table 7,.067,0.067,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,1/15
Table 7 ALGO CC-std. Llama W3,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/15
Table 7 ALGO CC-std. Llama W4,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/15
Table 7 ALGO SP-chall. Claude canonical,Table 7,.647,0.647,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,22/34
Table 7 ALGO SP-chall. Claude W1,Table 7,.618,0.618,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,21/34
Table 7 ALGO SP-chall. Claude W2,Table 7,.676,0.676,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,23/34
Table 7 ALGO SP-chall. Claude W3,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/34
Table 7 ALGO SP-chall. Claude W4,Table 7,.824,0.824,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,28/34
Table 7 ALGO SP-chall. Claude W5,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/31
Table 7 ALGO SP-chall. GPT-4o canonical,Table 7,.412,0.412,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,14/34
Table 7 ALGO SP-chall. GPT-4o W1,Table 7,.529,0.529,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,18/34
Table 7 ALGO SP-chall. GPT-4o W2,Table 7,.147,0.147,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,5/34
Table 7 ALGO SP-chall. GPT-4o W3,Table 7,.265,0.265,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,9/34
Table 7 ALGO SP-chall. GPT-4o W4,Table 7,.588,0.588,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,20/34
Table 7 ALGO SP-chall. GPT-4o W5,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/31
Table 7 ALGO SP-chall. Gemini canonical,Table 7,.676,0.676,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,23/34
Table 7 ALGO SP-chall. Gemini W1,Table 7,.441,0.441,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,15/34
Table 7 ALGO SP-chall. Gemini W2,Table 7,.235,0.235,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,8/34
Table 7 ALGO SP-chall. Gemini W3,Table 7,.324,0.324,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,11/34
Table 7 ALGO SP-chall. Gemini W4,Table 7,.559,0.559,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,19/34
Table 7 ALGO SP-chall. Gemini W5,Table 7,.032,0.032,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,1/31
Table 7 ALGO SP-chall. Llama canonical,Table 7,.059,0.059,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,2/34
Table 7 ALGO SP-chall. Llama W1,Table 7,.147,0.147,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,5/34
Table 7 ALGO SP-chall. Llama W2,Table 7,.029,0.029,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,1/34
Table 7 ALGO SP-chall. Llama W3,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/34
Table 7 ALGO SP-chall. Llama W4,Table 7,.088,0.088,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,3/34
Table 7 ALGO SP-chall. Llama W5,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/31
Table 7 ALGO SP-std. Claude canonical,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/21
Table 7 ALGO SP-std. Claude W1,Table 7,.190,0.19,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,4/21
Table 7 ALGO SP-std. Claude W2,Table 7,.667,0.667,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,14/21
Table 7 ALGO SP-std. Claude W3,Table 7,.048,0.048,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,1/21
Table 7 ALGO SP-std. Claude W4,Table 7,.952,0.952,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,20/21
Table 7 ALGO SP-std. Claude W5,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/19
Table 7 ALGO SP-std. GPT-4o canonical,Table 7,.714,0.714,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,15/21
Table 7 ALGO SP-std. GPT-4o W1,Table 7,.667,0.667,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,14/21
Table 7 ALGO SP-std. GPT-4o W2,Table 7,.048,0.048,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,1/21
Table 7 ALGO SP-std. GPT-4o W3,Table 7,.429,0.429,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,9/21
Table 7 ALGO SP-std. GPT-4o W4,Table 7,.524,0.524,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,11/21
Table 7 ALGO SP-std. GPT-4o W5,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/19
Table 7 ALGO SP-std. Gemini canonical,Table 7,.619,0.619,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,13/21
Table 7 ALGO SP-std. Gemini W1,Table 7,.762,0.762,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,16/21
Table 7 ALGO SP-std. Gemini W2,Table 7,.762,0.762,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,16/21
Table 7 ALGO SP-std. Gemini W3,Table 7,.476,0.476,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,10/21
Table 7 ALGO SP-std. Gemini W4,Table 7,.857,0.857,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,18/21
Table 7 ALGO SP-std. Gemini W5,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/19
Table 7 ALGO SP-std. Llama canonical,Table 7,.048,0.048,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,1/21
Table 7 ALGO SP-std. Llama W1,Table 7,.095,0.095,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,2/21
Table 7 ALGO SP-std. Llama W2,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/21
Table 7 ALGO SP-std. Llama W3,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/21
Table 7 ALGO SP-std. Llama W4,Table 7,.143,0.143,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,3/21
Table 7 ALGO SP-std. Llama W5,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/19
Table 7 ALGO WIS-chall. Claude canonical,Table 7,.353,0.353,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,6/17
Table 7 ALGO WIS-chall. Claude W1,Table 7,.176,0.176,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,3/17
Table 7 ALGO WIS-chall. Claude W2,Table 7,.118,0.118,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,2/17
Table 7 ALGO WIS-chall. Claude W3,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/17
Table 7 ALGO WIS-chall. Claude W4,Table 7,.059,0.059,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,1/17
Table 7 ALGO WIS-chall. GPT-4o canonical,Table 7,.353,0.353,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,6/17
Table 7 ALGO WIS-chall. GPT-4o W1,Table 7,.176,0.176,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,3/17
Table 7 ALGO WIS-chall. GPT-4o W2,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/17
Table 7 ALGO WIS-chall. GPT-4o W3,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/17
Table 7 ALGO WIS-chall. GPT-4o W4,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/17
Table 7 ALGO WIS-chall. Gemini canonical,Table 7,.353,0.353,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,6/17
Table 7 ALGO WIS-chall. Gemini W1,Table 7,.176,0.176,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,3/17
Table 7 ALGO WIS-chall. Gemini W2,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/17
Table 7 ALGO WIS-chall. Gemini W3,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/17
Table 7 ALGO WIS-chall. Gemini W4,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/17
Table 7 ALGO WIS-chall. Llama canonical,Table 7,.059,0.059,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,1/17
Table 7 ALGO WIS-chall. Llama W1,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/17
Table 7 ALGO WIS-chall. Llama W2,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/17
Table 7 ALGO WIS-chall. Llama W3,Table 7,.059,0.059,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,1/17
Table 7 ALGO WIS-chall. Llama W4,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/17
Table 7 ALGO WIS-std. Claude canonical,Table 7,.077,0.077,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,1/13
Table 7 ALGO WIS-std. Claude W1,Table 7,.231,0.231,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,3/13
Table 7 ALGO WIS-std. Claude W2,Table 7,.231,0.231,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,3/13
Table 7 ALGO WIS-std. Claude W3,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/13
Table 7 ALGO WIS-std. Claude W4,Table 7,.077,0.077,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,1/13
Table 7 ALGO WIS-std. GPT-4o canonical,Table 7,.154,0.154,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,2/13
Table 7 ALGO WIS-std. GPT-4o W1,Table 7,.231,0.231,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,3/13
Table 7 ALGO WIS-std. GPT-4o W2,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/13
Table 7 ALGO WIS-std. GPT-4o W3,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/13
Table 7 ALGO WIS-std. GPT-4o W4,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/13
Table 7 ALGO WIS-std. Gemini canonical,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/13
Table 7 ALGO WIS-std. Gemini W1,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/13
Table 7 ALGO WIS-std. Gemini W2,Table 7,.231,0.231,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,3/13
Table 7 ALGO WIS-std. Gemini W3,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/13
Table 7 ALGO WIS-std. Gemini W4,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/13
Table 7 ALGO WIS-std. Llama canonical,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/13
Table 7 ALGO WIS-std. Llama W1,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/13
Table 7 ALGO WIS-std. Llama W2,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/13
Table 7 ALGO WIS-std. Llama W3,Table 7,.077,0.077,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,1/13
Table 7 ALGO WIS-std. Llama W4,Table 7,.000,0,ALGO_P1_4model_frozen_labels.csv (caption: frozen verified labels); IDs = claude difficulty_params 34/10/17,drop mock; frozen challenging/standard split NOT question_bank instance_type,MATCH,0/13
Table 7 BW Claude canonical,Table 7,.154,0.153846,BW_P1_behavioral.csv / BW_P1_behavioral_claude.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,10/65
Table 7 BW Claude W1,Table 7,.062,0.0615385,BW_P1_behavioral.csv / BW_P1_behavioral_claude.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,4/65
Table 7 BW Claude W2,Table 7,.231,0.230769,BW_P1_behavioral.csv / BW_P1_behavioral_claude.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,15/65
Table 7 BW Claude W3,Table 7,.138,0.138462,BW_P1_behavioral.csv / BW_P1_behavioral_claude.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,9/65
Table 7 BW Claude W4,Table 7,.015,0.0153846,BW_P1_behavioral.csv / BW_P1_behavioral_claude.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,1/65
Table 7 BW Claude W5,Table 7,.523,0.566667,BW_P1_behavioral.csv / BW_P1_behavioral_claude.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MISMATCH,34/60
Table 7 BW GPT-4o canonical,Table 7,.062,0.0615385,BW_P1_behavioral.csv / BW_P1_behavioral_gpt4o.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,4/65
Table 7 BW GPT-4o W1,Table 7,.092,0.0923077,BW_P1_behavioral.csv / BW_P1_behavioral_gpt4o.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,6/65
Table 7 BW GPT-4o W2,Table 7,.092,0.0923077,BW_P1_behavioral.csv / BW_P1_behavioral_gpt4o.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,6/65
Table 7 BW GPT-4o W3,Table 7,.169,0.169231,BW_P1_behavioral.csv / BW_P1_behavioral_gpt4o.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,11/65
Table 7 BW GPT-4o W4,Table 7,.077,0.0769231,BW_P1_behavioral.csv / BW_P1_behavioral_gpt4o.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,5/65
Table 7 BW GPT-4o W5,Table 7,.246,0.266667,BW_P1_behavioral.csv / BW_P1_behavioral_gpt4o.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MISMATCH,16/60
Table 7 BW Gemini canonical,Table 7,.385,0.384615,BW_P1_behavioral.csv / BW_P1_behavioral_gemini.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,25/65
Table 7 BW Gemini W1,Table 7,.138,0.138462,BW_P1_behavioral.csv / BW_P1_behavioral_gemini.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,9/65
Table 7 BW Gemini W2,Table 7,.108,0.107692,BW_P1_behavioral.csv / BW_P1_behavioral_gemini.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,7/65
Table 7 BW Gemini W3,Table 7,.108,0.107692,BW_P1_behavioral.csv / BW_P1_behavioral_gemini.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,7/65
Table 7 BW Gemini W4,Table 7,.031,0.0307692,BW_P1_behavioral.csv / BW_P1_behavioral_gemini.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,2/65
Table 7 BW Gemini W5,Table 7,.569,0.616667,BW_P1_behavioral.csv / BW_P1_behavioral_gemini.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MISMATCH,37/60
Table 7 BW Llama canonical,Table 7,.015,0.0153846,BW_P1_behavioral.csv / BW_P1_behavioral_llama.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,1/65
Table 7 BW Llama W1,Table 7,.031,0.0307692,BW_P1_behavioral.csv / BW_P1_behavioral_llama.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,2/65
Table 7 BW Llama W2,Table 7,.015,0.0153846,BW_P1_behavioral.csv / BW_P1_behavioral_llama.csv,filter_p1_to_bank(BW) n=65 PlanBench IDs; drop mock; exclude variant_not_transformed,MATCH,1/65
